;Berlin;Hamburg;Munchen;Koln;Frankfurt;Stuttgart;Dusseldorf;Dortmund;Essen;Leipzig;Bremen;Dresden;Hannover;Nurnberg;Duisburg
Berlin;;289;584;591;550;628;565;493;532;180;400;193;285;440;548
Hamburg;289;;791;432;497;655;408;352;391;397;122;497;151;607;380
Munchen;584;791;;575;393;230;612;606;634;430;773;460;633;170;636
Koln;591;432;575;;191;372;44;95;72;497;315;569;293;406;74
Frankfurt;550;497;393;191;;204;228;221;250;391;441;482;350;225;252
Stuttgart;628;655;230;372;204;;410;419;432;474;645;507;512;210;434
Dusseldorf;565;408;612;44;228;410;;70;35;483;297;582;281;448;29
Dortmund;493;352;606;95;221;419;70;;38;416;234;514;212;436;60
Essen;532;391;634;72;250;432;35;38;;450;262;548;251;465;23
Leipzig;180;397;430;497;391;474;483;416;450;;377;120;262;285;474
Bremen;400;122;773;315;441;645;297;234;262;377;;473;112;584;293
Dresden;193;497;460;569;482;507;582;514;548;120;473;;365;316;571
Hannover;285;151;633;293;350;512;281;212;251;262;112;365;;467;269
Nurnberg;440;607;170;406;225;210;448;436;465;285;584;316;467;;468
Duisburg;548;380;636;74;252;434;29;60;23;474;293;571;269;468;
