	B	HH	M	K	F	S	D	DO	E	L	HB	DD	H	N	DU
B	NaN	289	584	591	550	628	565	493	532	180	400	193	285	440	548
HH	289	NaN	791	432	497	655	408	352	391	397	122	497	151	607	380
M	584	791	NaN	575	393	230	612	606	634	430	773	460	633	170	636
K	591	432	575	NaN	191	372	44	95	72	497	315	569	293	406	74
F	550	497	393	191	NaN	204	228	221	250	391	441	482	350	225	252
S	628	655	230	372	204	NaN	410	419	432	474	645	507	512	210	434
D	565	408	612	44	228	410	NaN	70	35	483	297	582	281	448	29
DO	493	352	606	95	221	419	70	NaN	38	416	234	514	212	436	60
E	532	391	634	72	250	432	35	38	NaN	450	262	548	251	465	23
L	180	397	430	497	391	474	483	416	450	NaN	377	120	262	285	474
HB	400	122	773	315	441	645	297	234	262	377	NaN	473	112	584	293
DD	193	497	460	569	482	507	582	514	548	120	473	NaN	365	316	571
H	285	151	633	293	350	512	281	212	251	262	112	365	NaN	467	269
N	440	607	170	406	225	210	448	436	465	285	584	316	467	NaN	468
DU	548	380	636	74	252	434	29	60	23	474	293	571	269	468	NaN


